,TP,TN,FP,FN,ACC,TPR,FPR
138,2722,3339,3400,2753,0.4962338300311118,0.4971689497716895,0.5045258940495623
139,2756,3373,3331,2754,0.5018012117242509,0.5001814882032668,0.4968675417661098
140,2714,3419,3422,2659,0.5021287047650237,0.5051181835101433,0.5002192661891536
141,2767,3357,3372,2718,0.5013918454232847,0.5044667274384685,0.5011145786892555
142,2734,3411,3382,2687,0.5031111838873424,0.5043349935436267,0.49786544972766084
143,2722,3398,3353,2741,0.5010643523825119,0.4982610287387882,0.49666716042067843
144,2726,3344,3472,2672,0.4969706893728508,0.505001852537977,0.5093896713615024
145,2751,3324,3391,2748,0.49738005567381693,0.5002727768685216,0.5049888309754281
146,2706,3442,3357,2709,0.503356803667922,0.4997229916897507,0.4937490807471687
147,2679,3413,3449,2673,0.4987719010971017,0.500560538116592,0.502623141941125
148,2734,3367,3429,2684,0.4995087604388407,0.5046142488002953,0.5045615067686875
149,2713,3425,3407,2669,0.5025380710659898,0.5040876997398737,0.49868266978922715
150,2692,3444,3392,2686,0.5023743245456034,0.5005578281889178,0.4961966062024576
151,2718,3363,3419,2714,0.49787129523497625,0.5003681885125184,0.5041285756414037
152,2756,3311,3392,2755,0.49672506959227114,0.5000907276356378,0.5060420707146054
153,2705,3466,3390,2653,0.5052398886523661,0.5048525569242255,0.4944574095682614
154,2626,3444,3389,2755,0.4969706893728508,0.4880133804125627,0.49597541343480167
155,2679,3523,3378,2634,0.5077779597183559,0.5042348955392434,0.48949427619185626
156,2759,3460,3336,2659,0.5091698051416408,0.5092284976005906,0.49087698646262506
157,2635,3476,3396,2707,0.5003274930407728,0.49326095095469863,0.49417927823050056
158,2781,3351,3362,2720,0.5020468315048305,0.5055444464642792,0.5008193058245196
159,2739,3478,3341,2656,0.5090060586212543,0.5076923076923077,0.4899545387886787
160,2730,3269,3443,2772,0.49115768789913217,0.4961832061068702,0.5129618593563766
161,2702,3435,3433,2644,0.5024561978057966,0.5054246165357277,0.4998543972044263
162,2761,3367,3366,2720,0.5017193384640576,0.5037401933953658,0.49992573889796527
163,2733,3424,3319,2738,0.5040936630096611,0.4995430451471395,0.49221414800533886
164,2725,3418,3353,2718,0.5029474373669559,0.500643027742054,0.49520011815093784
165,2698,3375,3363,2778,0.4972163091534305,0.4926953981008035,0.4991095280498664
166,2735,3405,3337,2737,0.5027018175863763,0.4998172514619883,0.4949569860575497
167,2709,3307,3396,2802,0.4925495333224169,0.49156232988568316,0.5066388184395046
168,2670,3435,3357,2752,0.4998362534796136,0.4924382146809295,0.49425795053003535
169,2676,3431,3396,2711,0.5,0.4967514386485985,0.4974366486011425
170,2629,3334,3532,2719,0.4882102505321762,0.49158563949139866,0.5144188756189921
171,2703,3394,3386,2731,0.4991812673980678,0.49742362900257636,0.4994100294985251
172,2751,3363,3355,2745,0.5005731128213525,0.5005458515283843,0.4994045846978267
173,2721,3388,3333,2772,0.5001637465203864,0.4953577280174768,0.4959083469721768
174,2757,3346,3351,2760,0.4996725069592271,0.49972811310494836,0.5003733014782739
175,2694,3377,3431,2712,0.49705256263304404,0.4983351831298557,0.5039659224441834
176,2727,3400,3428,2659,0.5016374652038644,0.506312662458225,0.502050380785003
177,2659,3387,3477,2691,0.4950057311282135,0.49700934579439254,0.5065559440559441
178,2727,3401,3395,2691,0.5017193384640576,0.5033222591362126,0.49955856386109476
179,2668,3354,3420,2772,0.49304077288357623,0.4904411764705882,0.5048715677590788
180,2707,3400,3309,2798,0.5,0.49173478655767483,0.4932180652854375
